Objects
100
,,Global Angle (Quaternion) nb01b:nb01b,,,,,,,Global Angle (Quaternion) nb02b:nb02b,,,,,,,Global Angle (Quaternion) nb04:ID,,,,,,,Global Angle (Quaternion) nb05:ID,,,,,,,Global Angle (Quaternion) nb08:ID,,,,,,,Global Angle (Quaternion) nb10b:nb10b,,,,,,,Global Angle (Quaternion) nb15b:nb15b,,,,,,,Global Angle (Quaternion) nb17b:nb17b,,,,,,,Global Angle (Quaternion) nb19:ID,,,,,,,Global Angle (Quaternion) nb20:ID,,,,,,,
Frame,Sub Frame,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ,RX,RY,RZ,RW,TX,TY,TZ
,,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm,,,,,mm,mm,mm
1011,0,,,,,,,,,,,,,,,-0.346965,-0.233351,-0.292264,0.860084,718.869,-5578.64,1649.39,-0.0183616,-0.420514,-0.186194,0.887785,787.084,-5445.72,1616.89,,,,,,,,,,,,,,,-0.328775,-0.563722,-0.447026,0.611794,-341.291,-5920.78,1719.41,0.313212,-0.912636,0.259486,-0.0407502,-88.8221,-6081.94,1688.5,-0.0691072,-0.297062,-0.781684,0.544011,-427.544,-6176.08,1717.88,-0.160452,-0.337678,-0.518508,0.769011,562.241,-5799.77,1708.01
1012,0,,,,,,,,,,,,,,,-0.347368,-0.234285,-0.291714,0.859854,718.855,-5578.61,1649.38,-0.0452158,-0.404158,-0.192846,0.892985,787.298,-5447.1,1615.28,,,,,,,,,,,,,,,-0.330355,-0.565707,-0.439775,0.614361,-341.176,-5921.06,1719.11,0.312865,-0.912225,0.261255,-0.0413035,-88.8966,-6082.05,1688.77,-0.0703444,-0.293773,-0.784403,0.541721,-427.322,-6176.01,1718.45,-0.160328,-0.339331,-0.514883,0.770743,562.946,-5799.95,1708.56
1013,0,,,,,,,,,,,,,,,-0.34765,-0.235112,-0.290915,0.859785,718.768,-5578.61,1649.27,-0.0398988,-0.396469,-0.201023,0.89488,787.232,-5447.64,1613.95,,,,,,,,,,,,,,,-0.329322,-0.564898,-0.434961,0.619069,-340.869,-5921.26,1718.9,0.3119,-0.911429,0.265055,-0.0419693,-88.8914,-6081.97,1688.86,-0.0728664,-0.292583,-0.784096,0.542475,-427.217,-6176.06,1718.95,-0.162569,-0.339055,-0.510996,0.772979,563.003,-5800,1708.57
1014,0,,,,,,,,0.637555,-0.216798,0.680412,0.289071,-344.067,-5715.15,1684.65,-0.347875,-0.236094,-0.290147,0.859684,718.764,-5578.61,1649.23,-0.0380145,-0.375783,-0.200747,0.903904,787.885,-5447.83,1613.72,0.291016,0.408288,0.777601,-0.379403,333.116,-5943.5,1691.83,,,,,,,,-0.332465,-0.561675,-0.428372,0.624889,-340.369,-5921.42,1718.87,0.312286,-0.910457,0.268044,-0.0411966,-88.4069,-6082.39,1688.97,-0.0765047,-0.291633,-0.781825,0.545753,-427.198,-6176.07,1719.39,-0.167189,-0.344471,-0.499696,0.776976,562.609,-5799.86,1708.24
1015,0,,,,,,,,0.626647,-0.227443,0.689331,0.28356,-345.676,-5717.57,1684.83,-0.348179,-0.236086,-0.288965,0.859962,718.757,-5578.6,1649.17,-0.031461,-0.3701,-0.213279,0.903631,788.107,-5447.24,1612.77,0.270724,0.419878,0.780665,-0.375464,334.32,-5944.43,1690.86,,,,,,,,-0.3333,-0.559252,-0.426353,0.62799,-339.815,-5921.54,1718.77,0.31467,-0.90938,0.26901,-0.0405518,-88.0309,-6082.47,1689.05,-0.0804993,-0.289856,-0.779267,0.549769,-427.023,-6176.11,1719.84,-0.170097,-0.34305,-0.495883,0.779413,562.943,-5800.13,1708.3
1016,0,,,,,,,,0.604138,-0.240969,0.707475,0.276461,-346.031,-5721.73,1683.26,-0.34855,-0.235941,-0.287761,0.860255,718.77,-5578.55,1649.08,-0.0218402,-0.373781,-0.215016,0.901986,788.579,-5448.31,1612.09,,,,,,,,,,,,,,,-0.329782,-0.556587,-0.426429,0.632149,-339.28,-5921.51,1718.71,0.315296,-0.908684,0.270673,-0.040207,-87.7583,-6082.51,1689.12,-0.0822924,-0.287791,-0.778049,0.552308,-426.909,-6176.14,1720.33,-0.172579,-0.341935,-0.492648,0.781406,562.995,-5800.18,1708.34
1017,0,-0.108375,-0.339384,-0.293476,0.887099,-35.8028,-5353.1,1630.5,0.596496,-0.229415,0.723607,0.260681,-347.01,-5727.09,1682.41,-0.351475,-0.236339,-0.279002,0.861839,718.753,-5578.5,1648.98,-0.027071,-0.350863,-0.21346,0.911371,788.603,-5448.68,1611.43,,,,,,,,,,,,,,,-0.330106,-0.55603,-0.421754,0.635597,-338.952,-5921.74,1718.6,0.721487,-0.633808,0.191765,0.20241,-88.1691,-6083.81,1690.17,-0.0800998,-0.287161,-0.781994,0.547365,-426.918,-6176.06,1720.63,-0.172956,-0.342967,-0.49045,0.782252,562.992,-5800.24,1708.29
1018,0,-0.107145,-0.345013,-0.2948,0.884635,-35.7881,-5353.12,1630.21,0.604007,-0.212191,0.72716,0.247769,-349.102,-5728.43,1685.84,-0.351174,-0.232096,-0.279236,0.863038,718.904,-5578.46,1649,-0.025081,-0.344936,-0.220699,0.911966,789.74,-5450.03,1611.58,,,,,,,,,,,,,,,-0.327132,-0.555818,-0.419163,0.639026,-338.762,-5921.75,1718.48,0.723396,-0.630215,0.195436,0.203302,-87.9412,-6083.66,1690.3,-0.0810731,-0.28409,-0.783212,0.547082,-426.783,-6176.11,1721.06,-0.174247,-0.343336,-0.488124,0.783258,562.954,-5800.2,1708.23
1019,0,-0.106331,-0.34953,-0.296414,0.882418,-35.3325,-5353.18,1630.35,0.624007,-0.205867,0.710484,0.251886,-348.906,-5726.78,1688.36,-0.351754,-0.232463,-0.278633,0.862898,718.939,-5578.42,1648.94,-0.0271038,-0.351577,-0.227413,0.907713,789.249,-5450.22,1610.8,,,,,,,,,,,,,,,-0.331392,-0.551197,-0.419382,0.640687,-338.287,-5921.6,1718.46,0.725584,-0.626445,0.196058,0.206533,-87.5404,-6083.68,1690.15,-0.082639,-0.282211,-0.782631,0.54865,-426.773,-6176.1,1721.42,-0.176507,-0.342056,-0.485283,0.785076,563.179,-5800.21,1708.33
1020,0,-0.105575,-0.353428,-0.297991,0.880422,-35.6525,-5353.03,1630.24,0.670835,-0.130167,0.680949,0.263336,-346.465,-5722.02,1690.18,-0.352425,-0.230154,-0.277709,0.863541,719.194,-5578.38,1649.09,-0.0204568,-0.350715,-0.229794,0.907621,789.346,-5450.71,1610.64,,,,,,,,,,,,,,,-0.299081,-0.549695,-0.454338,0.634005,-338.522,-5922.06,1719.12,0.727358,-0.623983,0.196418,0.207402,-87.467,-6083.43,1690.25,-0.0827689,-0.278812,-0.781723,0.551655,-426.855,-6176.24,1721.9,-0.182968,-0.347589,-0.470314,0.790259,562.898,-5799.99,1708.11
1021,0,-0.0925135,-0.383013,-0.297621,0.869577,-34.9554,-5352.57,1630.92,0.692773,-0.108685,0.658514,0.273151,-343.264,-5716.04,1691.6,-0.35195,-0.231386,-0.276649,0.863746,719.259,-5578.33,1649.18,-0.0119638,-0.356347,-0.236325,0.903894,789.462,-5451.33,1610.82,,,,,,,,,,,,,,,-0.290919,-0.553138,-0.455949,0.633653,-338.678,-5922.19,1719.03,0.728452,-0.622293,0.197657,0.207462,-87.3402,-6083.52,1690.07,-0.0854699,-0.279453,-0.782543,0.549752,-426.722,-6175.94,1722.14,-0.184397,-0.345914,-0.469311,0.791258,562.892,-5800.04,1708.17
1022,0,-0.0927385,-0.384687,-0.295616,0.869498,-34.8419,-5352.47,1630.76,0.72663,-0.117102,0.607899,0.297917,-341.778,-5713.9,1693.67,-0.35162,-0.231704,-0.274701,0.864416,719.442,-5578.23,1649.33,-0.00404924,-0.366845,-0.238939,0.899064,788.644,-5452.48,1610.33,,,,,,,,,,,,,,,-0.294617,-0.546813,-0.45892,0.635287,-338.257,-5921.94,1718.99,0.730162,-0.617757,0.195704,0.216655,-86.9851,-6083.11,1690.16,-0.090342,-0.280817,-0.779692,0.552322,-426.707,-6175.81,1722.45,-0.184897,-0.345417,-0.468292,0.791961,562.963,-5800.26,1708.09
1023,0,-0.0924727,-0.387782,-0.292526,0.869196,-34.88,-5352.41,1630.42,0.701997,-0.148609,0.623966,0.309486,-341.721,-5715.16,1692.45,-0.350852,-0.240205,-0.27522,0.86224,719.115,-5578,1649.14,0.0347025,-0.344282,-0.33395,0.87678,788.841,-5452.29,1611.27,,,,,,,,-0.111066,-0.381067,-0.116975,0.910368,-110.283,-5477.47,1658.17,-0.294671,-0.544202,-0.461029,0.635976,-338.074,-5921.9,1718.83,0.731748,-0.614855,0.197448,0.217974,-86.8976,-6083.05,1690.11,-0.0901117,-0.28079,-0.7785,0.554053,-426.682,-6175.74,1722.81,-0.185254,-0.345901,-0.466927,0.792472,562.955,-5800.09,1708.21
